locale	promotional_text	whats_new
zh-Hans	一键聚合 Google、百度、YouTube、B站等 40+ 平台，支持语音搜索、多标签、广告拦截和自定义平台，搜索更快更私密。	新增广告拦截订阅与站点白名单，支持网络请求、页面元素和弹窗过滤。新增手动屏蔽网页元素，可点选广告或遮挡内容，并按站点管理恢复。改进浏览体验：外部 App 跳转确认、多标签、新标签页、页内查找、桌面模式、下载、分享与链接菜单更顺畅。优化语音搜索、剪贴板提示、搜索建议、平台管理、批量导入与壁纸自动刷新。
en	Search 40+ platforms from one place. Soulo adds voice search, tabs, ad blocking, custom engines, bookmarks, and privacy-first browsing.	Added ad-block filter subscriptions and site allowlists, with network, cosmetic, and popup filtering. Added manual element blocking so you can pick ads or page clutter and restore rules per site. Improved browsing with external-app confirmations, multi-tab controls, a new tab page, Find in Page, desktop mode, smoother downloads, sharing, and link menus. Voice search, clipboard prompts, suggestions, platform management, batch import, and wallpaper refresh have also been refined.
zh-Hant	一鍵聚合 Google、百度、YouTube、B站等 40+ 平台，支援語音搜尋、多分頁、廣告阻擋與自訂平台，搜尋更快更私密。	新增廣告阻擋訂閱與站點白名單，支援網路請求、頁面元素與彈窗過濾。新增手動封鎖網頁元素，可點選廣告或遮擋內容，並依站點管理與還原。改進瀏覽體驗：外部 App 跳轉確認、多分頁、新分頁頁面、頁內搜尋、桌面模式、下載、分享與連結選單更順暢。也優化了語音搜尋、剪貼簿提示、搜尋建議、平台管理、批次匯入與壁紙自動更新。
ja	Google、百度、YouTube、Bilibiliなど40以上のサービスを一括検索。音声検索、タブ、広告ブロック、カスタム検索、プライバシー重視の閲覧に対応。	広告ブロックのフィルター購読とサイト別許可リストを追加し、通信、表示要素、ポップアップのフィルターに対応しました。広告や邪魔な要素をタップして非表示にできる手動ブロック機能も追加。外部アプリ起動確認、マルチタブ、新しいタブページ、ページ内検索、デスクトップ表示、ダウンロード、共有、リンクメニューを改善しました。音声検索、クリップボード提示、検索候補、プラットフォーム管理、一括インポート、壁紙の自動更新も最適化しました。
ko	Google, Baidu, YouTube, Bilibili 등 40개 이상 플랫폼을 한 번에 검색하세요. 음성 검색, 탭, 광고 차단, 맞춤 플랫폼, 개인정보 보호 브라우징 지원.	광고 차단 필터 구독과 사이트별 허용 목록을 추가해 네트워크 요청, 화면 요소, 팝업 필터링을 지원합니다. 광고나 방해되는 요소를 직접 선택해 숨기고 사이트별로 복원할 수 있습니다. 외부 앱 열기 확인, 다중 탭, 새 탭 페이지, 페이지 내 찾기, 데스크톱 모드, 다운로드, 공유, 링크 메뉴를 개선했습니다. 음성 검색, 클립보드 알림, 검색 제안, 플랫폼 관리, 일괄 가져오기, 배경화면 자동 새로고침도 다듬었습니다.
fr	Recherchez sur plus de 40 plateformes depuis Soulo : recherche vocale, onglets, bloqueur de pubs, moteurs personnalisés et navigation privée.	Ajout des abonnements de filtres anti-pub et des listes d'autorisation par site, avec filtrage réseau, visuel et des fenêtres pop-up. Vous pouvez aussi masquer manuellement des éléments de page et gérer les règles par site. Navigation améliorée : confirmation avant ouverture d'apps externes, onglets multiples, nouvelle page d'onglet, recherche dans la page, mode bureau, téléchargements, partage et menus de liens. Recherche vocale, suggestions, presse-papiers, gestion des plateformes, import groupé et fonds d'écran ont été optimisés.
de	Durchsuche 40+ Plattformen an einem Ort: Sprachsuche, Tabs, Werbeblocker, eigene Suchdienste, Lesezeichen und privates Browsing.	Neu: Filter-Abos und Freigabelisten für den Werbeblocker, mit Netzwerk-, Element- und Popup-Filterung. Seiteninhalte lassen sich jetzt manuell auswählen, ausblenden und pro Website wiederherstellen. Verbessert wurden externe App-Bestätigungen, Mehrfach-Tabs, neue Tab-Seite, Seitensuche, Desktop-Modus, Downloads, Teilen und Link-Menüs. Außerdem optimiert: Sprachsuche, Zwischenablage-Hinweise, Suchvorschläge, Plattformverwaltung, Batch-Import und automatische Wallpaper-Aktualisierung.
es	Busca en más de 40 plataformas desde Soulo: voz, pestañas, bloqueador de anuncios, motores personalizados, marcadores y navegación privada.	Añadimos suscripciones de filtros y listas de permitidos para el bloqueador de anuncios, con filtrado de red, elementos y ventanas emergentes. Ahora puedes ocultar manualmente anuncios o elementos molestos y restaurarlos por sitio. Mejoras en navegación: confirmación para apps externas, múltiples pestañas, nueva pestaña, buscar en página, modo escritorio, descargas, compartir y menús de enlaces. También optimizamos voz, portapapeles, sugerencias, gestión de plataformas, importación por lotes y fondos.
vi	Tìm kiếm hơn 40 nền tảng trong Soulo: tìm bằng giọng nói, tab, chặn quảng cáo, công cụ tùy chỉnh, dấu trang và duyệt riêng tư.	Đã thêm gói bộ lọc chặn quảng cáo và danh sách cho phép theo trang, hỗ trợ lọc mạng, phần tử hiển thị và pop-up. Bạn có thể chọn thủ công quảng cáo hoặc nội dung gây vướng để ẩn và khôi phục theo từng trang. Cải thiện xác nhận mở ứng dụng ngoài, nhiều tab, trang tab mới, tìm trong trang, chế độ desktop, tải xuống, chia sẻ và menu liên kết. Tối ưu tìm kiếm bằng giọng nói, gợi ý, clipboard, quản lý nền tảng, nhập hàng loạt và hình nền tự động.
pt-BR	Pesquise em mais de 40 plataformas no Soulo: voz, abas, bloqueador de anúncios, motores personalizados, favoritos e navegação privada.	Adicionamos assinaturas de filtros e lista de permissões para o bloqueador de anúncios, com filtragem de rede, elementos e pop-ups. Agora você pode ocultar manualmente anúncios ou elementos incômodos e restaurar regras por site. Melhoramos confirmações para apps externos, múltiplas abas, nova aba, busca na página, modo desktop, downloads, compartilhamento e menus de links. Também refinamos voz, clipboard, sugestões, gerenciamento de plataformas, importação em lote e papéis de parede.
